NodeIndex,GeneSymbol,AAA,PAD
256,EPN3,0,0
257,UGT1A7,0,0
258,COX10,0,0
259,PSMD10,0,0
260,USHBP1,0,0
261,HNF1A,0,0
262,SLC27A1,0,0
263,MSH2,0,0
264,PRH1,0,0
265,SRSF4,0,0
266,GABBR1,0,0
267,STON1-GTF2A1L,0,0
268,ZMYND11,0,0
269,ASL,0,0
270,TBC1D10B,0,0
271,ATP5PB,0,0
272,NR5A1,0,0
273,PSMD13,0,0
274,FTH1,1,0
275,ORC2,0,0
276,CETN2,0,0
277,CCDC40,0,0
278,MTIF3,0,0
279,FBXW10,0,0
280,EXOC3L2,0,0
281,NOS2,0,0
282,INHBB,0,0
283,RNF2,0,0
284,SIRT4,0,0
285,RBBP6,0,0
286,DKC1,0,0
287,MYMK,0,0
288,SPAG5,0,0
289,NIPSNAP1,0,0
290,DDX10,0,0
291,G6PD,0,0
292,CDC26,0,0
293,PEX3,0,0
294,TLE2,0,0
295,TOMM6,0,0
296,H4C2,0,0
297,ERBB2,0,0
298,SLC25A41,0,0
299,RGS1,0,0
300,PRG3,0,0
301,FAXDC2,0,0
302,FGA,1,0
303,ZCCHC17,0,0
304,SLC22A14,0,0
305,PLD1,0,0
306,GRM1,0,0
307,BCL2,0,0
308,NR1H4,0,0
309,SEC62,0,0
310,LPL,0,1
311,YWHAH,0,0
312,GMIP,0,0
313,ENPEP,0,0
314,ALK,0,0
315,HLA-E,0,0
316,ZCCHC4,0,0
317,CD38,0,0
318,CCT4,0,0
319,AIPL1,0,0
320,ICE2,0,0
321,CYTH3,0,0
322,H3-4,0,0
323,PYROXD1,0,0
324,CLCA2,0,0
325,IFNA1,0,0
326,TACO1,0,0
327,PCBD2,0,0
328,CELA3A,0,0
329,ADM,1,0
330,CUL9,0,0
331,PABPN1,0,0
332,TSC2,0,0
333,TCF7L1,0,0
334,CHORDC1,0,0
335,HSPA4L,0,0
336,NCAPG2,0,0
337,PRMT8,0,0
338,ARPC3,0,0
339,INO80B,0,0
340,PFKFB3,0,0
341,HGD,0,0
342,MAGI1,0,0
343,SSU72P2,0,0
344,EDN3,0,0
345,OTOG,0,0
346,ZYG11B,0,0
347,GSTM1,0,0
348,RAB23,0,0
349,TRIT1,0,0
350,NCR3,0,0
351,HARS2,0,0
352,NUP37,0,0
353,SGF29,0,0
354,ATRX,0,0
355,SAP30L,0,0
356,ITGA8,1,0
357,SNX1,0,0
358,TPM3,1,0
359,ZNF683,0,0
360,ZKSCAN3,0,0
361,RMDN3,0,0
362,EDF1,0,0
363,CRY2,0,0
364,DAG1,0,0
365,ABCB1,0,0
366,GPD1L,0,0
367,SYP,0,0
368,GPR143,0,0
369,TAF1D,0,0
370,AXIN2,0,0
371,MED11,0,0
372,ERBB4,0,0
373,HORMAD1,0,0
374,RNF146,0,0
375,CDC16,0,0
376,GGPS1,0,0
377,SYNJ1,0,0
378,COX5A,0,0
379,CYP26A1,0,0
380,PSMC5,0,0
381,HACD3,0,0
382,DMXL1,0,0
383,VNN1,0,0
384,NEFH,0,0
385,BCL2L2,0,0
386,TAF4B,0,0
387,TPSB2,0,0
388,FRYL,0,0
389,SSBP1,0,0
390,BCL7B,0,0
391,RRAGD,0,0
392,GNAI2,0,0
393,CCKAR,0,0
394,GDI2,0,0
395,AANAT,0,0
396,FAP,0,0
397,HDAC6,0,0
398,EGR2,0,0
399,DNA2,0,0
400,GATA6,0,0
401,TNFRSF13B,0,0
402,LGR4,0,0
403,CDC20,0,0
404,PLOD2,0,0
405,TXNDC17,0,0
406,PLK4,0,0
407,UGT2B10,0,0
408,PHLDA2,0,0
409,SULT1C3,0,0
410,MAOA,0,0
411,CCL27,0,0
412,PHYH,0,0
413,LPA,1,1
414,RIPK1,0,0
415,HM13,0,0
416,ACTA1,0,0
417,PRKG1,1,1
418,CETP,0,0
419,RRM2,0,0
420,ARNT,0,0
421,LYPLA1,0,0
422,OTUB2,0,0
518,AIF1,0,0
519,ODC1,0,0
520,GRB2,0,0
521,TBX2,0,0
522,CYB5R2,0,0
523,SETD1B,0,0
524,HELLS,0,0
525,EBI3,0,0
526,B3GAT1,0,0
527,NOC4L,0,0
528,BUB1,0,0
529,CCL21,0,0
530,CCL1,0,0
531,LOXHD1,0,0
532,SIX6,0,0
533,POLA2,0,0
534,CASR,0,0
535,RGSL1,0,0
536,TUBB1,0,0
537,DPYS,0,0
538,POLR2K,0,0
539,MLNR,0,0
540,CD1C,0,0
541,THAP3,0,0
542,RNASEH2B,0,0
543,DCTN6,0,0
544,UTP3,0,0
545,FAM98A,0,0
546,NUP43,0,0
547,PENK,0,0
548,LYZ,1,0
549,PRSS16,0,0
550,LAMA5,0,0
551,SRY,0,0
552,GNB4,0,0
553,HSD17B3,0,0
554,PSMA5,0,0
555,FLNC,0,0
556,MTMR8,0,0
557,CWF19L2,0,0
558,PMCH,0,0
559,BGN,0,0
560,SRP19,0,0
561,EFNA1,0,0
562,PKLR,0,0
563,NUFIP2,0,0
564,SLC35A2,0,0
565,HOXD4,0,0
566,NFKBIE,0,0
567,TEX48,0,0
568,COX6C,0,0
569,SDC1,0,0
570,RPH3A,0,0
571,TNPO2,0,0
572,HBE1,0,0
573,CXCR6,0,0
574,RASD1,0,0
575,MIOX,0,0
576,ASDURF,0,0
577,GDF5,0,0
578,DMRT1,0,0
579,APOH,1,0
580,KYAT3,0,0
581,CAGE1,0,0
582,PCK2,0,0
583,POLDIP3,0,0
584,UGT1A5,0,0
585,CCN2,0,0
586,HNRNPA2B1,0,0
587,OCA2,0,0
588,GALNT5,0,0
589,FKBP4,0,0
590,RSL24D1,0,0
591,ATP5MGL,0,0
592,CACNA1A,0,0
593,SYF2,0,0
594,GCH1,0,0
595,SRSF3,0,0
596,EIF2AK2,0,0
597,GZMK,0,0
598,CHUK,0,0
599,REXO1,0,0
600,ZPBP,0,0
601,ADAT3,0,0
602,GPNMB,0,0
603,GALNT3,0,0
604,NUP153,0,0
605,SNX17,0,0
606,CD3G,0,0
607,BAAT,0,0
608,TARBP1,0,0
609,AQP2,0,0
610,ROPN1,0,0
611,HTR1D,0,0
612,WIPI2,0,0
613,CYBB,0,0
614,P3H4,0,0
615,SEMG1,0,0
616,MRPL40,0,0
617,SLC34A3,0,0
618,UBE2R2,0,0
619,VIP,0,0
620,INTS4,0,0
621,CNGA3,0,0
622,MED27,0,0
623,ELOA,0,0
624,OAT,0,0
625,RIPPLY1,0,0
626,KCNQ1,0,0
627,ATAD5,0,0
628,RSC1A1,0,0
629,POFUT1,0,0
630,COX5B,0,0
631,RAD17,0,0
632,DBT,0,0
633,PREB,0,0
634,SRPK1,0,0
635,ALOX5AP,0,0
636,GALE,0,0
637,FAM53C,0,0
638,PSMC6,0,0
639,NUDT21,0,0
640,IFT88,0,0
641,NAA35,0,0
642,OTC,0,0
643,FNBP1L,0,0
644,RPS23,0,0
645,CDS2,0,0
646,IST1,0,0
647,STRADA,0,0
648,RORC,0,0
649,MELK,0,0
650,SURF1,0,0
651,ITGB6,0,0
652,APMAP,0,0
653,RNF128,0,0
654,SRSF12,0,0
655,PANX1,0,0
656,CPB1,0,0
657,CD34,0,1
658,CEP55,0,0
659,DSG2,0,0
660,ALG1,0,0
661,CABYR,0,0
662,MRPS18A,0,0
663,RAG2,0,0
664,NOL12,0,0
665,PSME1,0,0
666,PDCD4,0,0
667,NMRAL1,0,0
668,CHMP6,0,0
669,WDR43,0,0
670,AP2A2,0,0
671,KDM2A,0,0
672,MCOLN1,0,0
673,HAAO,0,0
674,TWIST2,0,0
675,SRSF2,0,0
676,CYBA,0,0
677,CPA2,0,0
678,KNG1,1,0
679,CKMT1B,0,0
680,PRPS1,0,0
681,IFI44,0,0
682,CRYM,0,0
683,KCNA1,0,0
684,SMKR1,0,0
685,AKAP10,0,0
686,CEACAM5,0,0
687,MRPL33,0,0
688,G3BP2,0,0
689,YIF1A,0,0
690,PALB2,0,0
691,IRAK2,0,0
692,AVPR2,0,0
693,SHLD2,0,0
694,B3GALNT1,0,0
695,USH2A,0,0
696,KRT17,0,0
697,MKS1,0,0
698,KHDRBS1,0,0
699,MS4A12,0,0
700,USP36,0,0
701,FEM1C,0,0
702,DECR1,0,0
703,LAMB3,0,0
704,GNRH2,0,0
705,KLC3,0,0
706,ENY2,0,0
707,PRDM2,0,0
708,CCDC65,0,0
709,KCNJ2,0,0
710,UBE2N,0,0
711,AK8,0,0
712,NME8,0,0
713,CALML5,0,0
714,GINS1,0,0
715,GBA,0,0
716,TENT4A,0,0
717,LDHAL6A,0,0
718,CTRB1,0,0
719,PRM1,0,0
720,BDH2,0,0
721,SH2B3,0,0
722,ACAP2,0,0
723,ZIC4,0,0
724,RARA,0,0
725,SST,0,0
726,TTC21B,0,0
727,FADS1,0,0
728,IGF2,1,0
729,SRGN,0,0
730,DDX49,0,0
731,KCNIP2,0,0
732,CSNK2A2,0,0
733,UBN1,0,0
734,PRM2,0,0
735,RTCA,0,0
736,SCRN2,0,0
737,EFHC1,0,0
738,SGO1,0,0
739,INSIG1,0,0
740,SEC31A,0,0
741,POM121C,0,0
742,ATP5F1A,0,1
743,MATR3,0,0
744,PAK1IP1,0,0
745,POSTN,1,0
746,INTS9,0,0
747,DNAJB11,0,0
748,MOG,0,0
749,GSTM4,0,0
750,VPS8,0,0
751,DMD,0,0
752,CYP2S1,0,0
753,TNRC6C,0,0
754,PLA2G6,0,0
755,PEBP1,1,0
756,SLC25A5,0,0
757,CLN3,0,0
758,TAZ,0,0
759,RALBP1,0,0
760,DRD2,0,0
761,AK2,0,0
762,CD2,0,0
763,PREP,0,0
764,PLA2G4D,0,0
765,MAOB,0,0
766,TNFAIP3,0,0
919,C19orf12,0,0
920,ZCCHC7,0,0
921,UAP1,0,0
922,ZFY,0,0
923,MSX1,0,0
924,PLAUR,1,0
925,SNX3,0,0
926,POLR3B,0,0
927,TFAP2B,0,0
928,TRPV5,0,0
929,CSN2,0,0
930,NEU3,0,0
931,CWF19L1,0,0
932,TFB2M,0,0
933,MTHFD1,0,0
934,RAB6B,0,0
935,PHF12,0,0
936,HSCB,0,0
937,PIPOX,0,0
938,IDH3A,0,0
939,ARCN1,0,0
940,PGAM1,0,0
941,DCAF4,0,0
942,NAB2,0,0
943,ULK3,0,0
944,PEA15,0,0
945,MRPS6,0,0
946,CCNT2,0,0
947,RRP7A,0,0
948,APOBEC3A,0,0
949,AQP8,0,0
950,H2BC21,0,0
951,GGA2,0,0
952,IL22,0,0
953,SSBP2,0,0
954,EPM2A,0,0
955,FOXRED1,0,0
956,BEST1,0,0
957,CALML3,0,0
958,TRUB1,0,0
959,DCN,0,0
960,PMM1,0,0
961,NKD2,0,0
962,H4C14,0,0
963,ANAPC1,0,0
964,ESYT1,0,0
965,CEP192,0,0
966,TBL2,0,0
967,SRSF11,0,0
968,FBXO45,0,0
969,RPF1,0,0
970,GLIS3,0,0
971,CMTM3,0,0
972,PRKCQ,0,0
973,KCTD17,0,0
974,PMP2,0,0
975,SERPINI1,0,0
976,GSS,0,0
977,PDE9A,0,0
978,CD247,0,0
979,GSR,0,0
980,FEM1B,0,0
981,ACAD11,0,0
982,NDUFAF1,0,0
983,GALNT6,0,0
984,ASAH1,0,0
985,PPME1,0,0
986,ACE,0,1
987,RPTOR,0,0
988,LY96,0,0
989,COP1,0,0
990,INSRR,0,0
991,FBXL8,0,0
992,NRP1,0,0
993,MFAP1,0,0
994,PDIA2,0,0
995,SF3B1,0,0
996,NAA15,0,0
997,MAN2A1,0,0
998,CYP4A22,0,0
999,MRPS16,0,0
1000,PIK3CB,0,0
1001,LLGL2,0,0
1002,CCL16,0,0
1003,PINX1,0,0
1004,IL19,0,0
1005,RPL21,0,0
1006,EXOSC5,0,0
1007,VARS2,0,0
1008,SLC1A4,0,0
1009,GTF2H3,0,0
1010,RABGGTA,0,0
1011,EEF1E1,0,0
1012,COL18A1,1,0
1013,BPGM,0,0
1014,GTPBP6,0,0
1015,COPS7B,0,0
1016,CTSK,0,0
1017,MYL7,0,0
1018,RPS11,0,0
1019,MRPS27,0,0
1020,MLKL,0,0
1021,MIEF2,0,0
1022,RLN2,0,0
1023,CSH1,0,0
1024,POP7,0,0
1025,NUP188,0,0
1026,HEXB,0,0
1027,MKNK2,0,0
1028,SLC10A7,0,0
1029,GPX3,0,0
1030,EFTUD2,0,0
1031,ABI3BP,0,0
1032,POLR2E,0,0
1033,ACP5,0,0
1034,RRAS2,0,0
1035,RAVER1,0,0
1036,TOPBP1,0,0
1037,ZNRF3,0,0
1038,PRKAB2,0,0
1039,TRAF6,0,0
1040,MOCS1,0,0
1041,RETNLB,0,0
1042,ORC5,0,0
1043,TXNDC12,0,0
1044,CDKN1B,0,0
1045,AKR1C2,0,0
1046,POM121,0,0
1047,EXTL2,0,0
1048,FIZ1,0,0
1049,SLC26A1,0,0
1050,MRPL50,0,0
1051,MYOD1,0,0
1052,DIS3L,0,0
1053,BUD23,0,0
1054,FUCA2,0,0
1055,MRPS35,0,0
1056,PER2,0,0
1057,TAX1BP3,0,0
1058,DNAH7,0,0
1059,HGFAC,0,0
1060,BAG2,0,0
1061,NAT14,0,0
1062,SKP1,0,0
1063,LRTOMT,0,0
1064,USP6,0,0
1065,KREMEN1,0,0
1066,RPE65,0,0
1067,ARR3,0,0
1068,C12orf57,0,0
1069,APOC1,1,0
1070,TRPV2,0,0
1071,TBK1,0,0
1072,HACD2,0,0
1073,SDF4,0,0
1074,RAD18,0,0
1075,CTLA4,0,0
1076,CYFIP2,0,0
1077,RCAN2,0,0
1078,RDH12,0,0
1079,KCNH2,0,0
1080,PAX3,0,0
1081,RARS1,0,0
1082,ATG4B,0,0
1083,KLK15,0,0
1084,LSR,0,0
1085,GLRX5,0,0
1086,ZP2,0,0
1087,VPS37A,0,0
1088,PTAR1,0,0
1089,PON3,0,0
1090,RDH16,0,0
1091,SCARB1,0,0
1092,CFAP206,0,0
1093,GNL3L,0,0
1094,COPS3,0,0
1095,CTSA,0,0
1096,CHCHD6,0,0
1097,KCNQ5,0,0
1098,CBX3,0,0
1099,POU2AF1,0,0
1100,NLRP11,0,0
1101,PIK3C2A,0,0
1102,TNFSF4,0,0
1103,MED21,0,0
1104,CUL2,0,0
1105,SMARCA2,0,0
1106,PMP22,0,0
1107,VGF,0,0
1108,LGR6,0,0
1109,RPUSD1,0,0
1110,ZSCAN10,0,0
1111,CALU,0,0
1112,PLD2,0,0
1113,CPLANE1,0,0
1114,IL6,0,1
1176,HCFC1,0,0
1177,USP2,0,0
1178,TTC30A,0,0
1179,DERL2,0,0
1180,ERCC1,0,0
1181,SF3A1,0,0
1182,CLDN2,0,0
1183,GPBAR1,0,0
1184,CANX,0,0
1185,OXSR1,0,0
1186,MERTK,0,0
1187,GATB,0,0
1188,MAPK9,0,0
1189,GOLPH3,0,0
1190,INTS7,0,0
1191,PDCD6IP,0,0
1192,SETX,0,0
1193,INSL4,0,0
1194,GNAT1,0,0
1195,C1orf194,0,0
1196,GET4,0,0
1197,SYNRG,0,0
1198,LTA4H,0,0
1199,EPHB4,0,0
1200,SMPD3,0,0
1201,NMT1,0,0
1202,SRM,0,0
1203,CYP2U1,0,0
1204,LOC114841035,0,0
1205,ZNF281,0,0
1206,FOXN1,0,0
1207,RBM15,0,0
1208,PPARA,0,0
1209,FBXO34,0,0
1210,DUX4,0,0
1211,AP4M1,0,0
1212,C1D,0,0
1213,CSE1L,0,0
1214,WASL,0,0
1215,C9,1,0
1216,LTV1,0,0
1217,TRAPPC8,0,0
1218,KIF20A,0,0
1219,PPM1B,0,0
1220,UNC13D,0,0
1221,PSMB6,0,0
1222,EIF4H,0,0
1223,PTK2B,0,0
1224,STK40,0,0
1225,NPHS1,0,0
1226,DNAAF2,0,0
1227,MYH13,0,0
1228,ZCWPW1,0,0
1229,GLT6D1,0,0
1230,PPP2CB,0,0
1231,NR1D2,0,0
1232,NR5A2,0,0
1233,ERLIN2,0,0
1234,CTTNBP2,0,0
1235,RYK,0,0
1236,TMCO1,0,0
1237,KCNA6,0,0
1238,GGT5,0,0
1239,PACRG,0,0
1240,ABCB8,0,0
1241,CREBBP,0,0
1242,ABCA4,0,0
1243,OR1F1,0,0
1244,ATF5,0,0
1245,RHEBL1,0,0
1246,AFDN,0,0
1247,FGF9,0,0
1248,NME1,0,0
1249,ALDH1A1,0,0
1250,TRIP6,0,0
1251,NOTUM,0,0
1252,NBAS,0,0
1253,SEMA3G,0,0
1254,ZNF436,0,0
1255,FGFR1OP,0,0
1256,AIM2,0,0
1257,LEPR,0,0
1258,MRPL57,0,0
1259,IRAK3,0,0
1260,PDK1,0,0
1261,CYTH1,0,0
1262,DFFB,0,0
1263,MAGOH,0,0
1264,PPP2R5E,0,0
1265,SDSL,0,0
1266,CAVIN1,0,0
1267,KIF5A,0,0
1268,TRA2B,0,0
1269,CD6,0,0
1270,PEX11B,0,0
1271,EMC4,0,0
1272,MBIP,0,0
1273,ADCYAP1,0,0
1274,TARDBP,0,0
1275,BRD3,0,0
1276,ZC3H4,0,0
1277,ABTB1,0,0
1278,KITLG,0,0
1279,MET,0,0
1280,APOC4,0,0
1281,MAPK14,0,1
1282,RAMP2,0,0
1283,NOL9,0,0
1284,MYCN,0,0
1285,PELP1,0,0
1286,HDLBP,0,0
1287,COL4A4,1,0
1288,PRDX5,0,0
1289,ITK,0,0
1290,WDR5,0,0
1291,LOX,1,1
1292,SNRNP48,0,0
1293,MAP3K8,0,0
1294,RPL14,0,0
1295,FAM107B,0,0
1296,PDK4,0,0
1297,GAGE2E,0,0
1298,NADSYN1,0,0
1299,ARFIP1,0,0
1300,ZFYVE19,0,0
1301,CCL14,0,0
1302,CSF1R,0,0
1303,SMAD9,0,0
1304,GAA,0,0
1305,BCL10,0,0
1306,PIGC,0,0
1307,DCSTAMP,0,0
1308,AP2A1,0,0
1309,TGFBI,0,0
1310,MAPKAP1,0,0
1311,APOBEC3B,0,0
1312,PAICS,0,0
1313,PDXK,0,0
1314,POR,0,0
1315,PPP1R15B,0,0
1316,HAUS4,0,0
1317,PTPRA,0,0
1318,LTBP1,0,0
1319,SAR1B,0,0
1320,LMBRD1,0,0
1321,PGA3,0,0
1322,HYPK,0,0
1323,PANX2,0,0
1324,LIMS1,0,0
1325,KCNIP3,0,0
1326,CRYAB,1,0
1327,LDLRAP1,0,1
1328,YIPF4,0,0
1329,LCTL,0,0
1330,RUNX1,0,0
1331,SNU13,0,0
1332,AK7,0,0
1333,MYO5A,0,0
1334,KDM5B,0,0
1335,RSPH9,0,0
1336,C12orf65,0,0
1337,MECP2,0,0
1338,RPN1,0,0
1339,SEC22C,0,0
1340,CREBZF,0,0
1341,PRKCSH,0,0
1342,FXYD1,0,0
1343,VPS28,0,0
1344,OPA3,0,0
1345,INPPL1,0,0
1346,FBXL4,0,0
1347,GUK1,0,0
1348,TMC2,0,0
1349,ITGA7,0,0
1350,LMOD2,0,0
1351,TPI1,0,0
1352,ASB18,0,0
1353,MTFMT,0,0
1354,SETD2,0,0
1355,TIMP2,1,0
1356,CBR1,0,0
1357,KRT20,0,0
1358,MRPL15,0,0
1359,CCDC39,0,0
1360,IFNB1,0,0
1361,TCN2,0,0
1362,PI4K2A,0,0
1363,APCS,1,0
1364,TFAM,0,0
1365,IFNAR2,0,0
1366,LUC7L2,0,0
1367,INHBE,0,0
1368,STK25,0,0
1369,NES,0,0
1370,GOSR1,0,0
1371,IRF2BP2,0,0
1372,CYP26C1,0,0
1373,PROM1,0,0
1374,COL21A1,0,0
1375,CD48,0,0
1376,PLA2G2D,0,0
1377,PCNA,0,0
1378,FBXL16,0,0
1379,FAN1,0,0
1380,HOXC9,0,0
1381,NDUFS2,0,0
1382,ATP2B4,0,0
1383,SRP72,0,0
1384,TSPO,0,0
1385,ASB7,0,0
1386,LCA5,0,0
1387,MAT1A,0,0
1388,VAV1,0,0
1389,RPL38,0,0
1390,ATP2A2,0,0
1391,NECAP2,0,0
1392,PIH1D1,0,0
1393,KCNJ11,0,0
1394,TIMM50,0,0
1395,TNNC1,0,0
1396,LNP1,0,0
1397,ORC6,0,0
1398,HNRNPA3,0,0
1399,NT5C1B-RDH14,0,0
1400,OS9,0,0
1401,CPSF1,0,0
1402,ATP5IF1,0,0
1403,H2BC10,0,0
1404,TNKS2,0,0
1405,PDK2,0,0
1406,EVPL,0,0
1407,POLRMT,0,0
1408,FSHR,0,0
1409,RAB6A,0,0
1410,PIGF,0,0
1411,RASSF8,0,0
1412,MED12,0,0
1413,CPSF6,0,0
1414,TBKBP1,0,0
1415,PCYOX1,0,0
1416,COL1A2,1,0
1417,HBA1,0,0
1418,HABP2,0,0
1419,HTRA2,0,0
1420,RAD21,0,0
1421,TBL1X,0,0
1422,COX4I1,0,0
1423,YY1,0,0
1424,CCT8,0,0
1425,C15orf65,0,0
1426,SQOR,0,0
1427,PARP6,0,0
1428,GEMIN4,0,0
1429,ITPK1,0,0
1430,BUD13,0,0
1431,PGAM2,0,0
1432,PSMA3,0,0
1433,AP5B1,0,0
1434,SPI1,0,0
1435,ATP5F1E,0,0
1436,CAP2,0,0
1437,TNIP1,0,0
1438,TTC30B,0,0
1439,MTHFD2L,0,0
1440,TAPT1,0,0
1441,DMC1,0,0
1442,LPCAT2,0,0
1443,COL23A1,0,0
1444,NT5C1B,0,0
1445,SLN,0,0
1446,GNGT2,0,0
1447,AMBN,0,0
1448,PPIG,0,0
1449,RAB31,0,0
1450,PEX5,0,0
1451,PAM16,0,0
1452,EEF2K,0,0
1453,PIAS2,0,0
1454,CD79A,0,0
1455,FKTN,0,0
1456,KLHL3,0,0
1457,ARMC7,0,0
1458,TTK,0,0
1459,TNFSF10,0,0
1460,AOX1,0,0
1461,DAZAP1,0,0
1462,CCDC121,0,0
1463,TCIRG1,0,0
1464,ADH1A,0,0
1465,FDFT1,0,0
1466,TLL1,0,0
1467,CD80,0,0
1468,EIF1B,0,0
1469,SNRPB,0,0
1470,CCDC115,0,0
1471,GNL2,0,0
1472,NOS1AP,0,0
1473,NRF1,0,0
1474,AURKB,0,0
1475,DPYSL4,0,0
1476,RAD1,0,0
1477,TULP3,0,0
1478,HAL,0,0
1479,FGFR2,0,0
1480,LMNB1,0,0
1481,PRDM1,0,0
1482,PLXNB3,0,0
1483,IL12A,0,0
1484,MRPL3,0,0
1485,ASAP1,0,0
1486,MEAF6,0,0
1487,INO80D,0,0
1488,CD96,0,0
1489,CENPN,0,0
1490,PARP9,0,0
1491,RAB1A,0,0
1492,CLDN11,0,0
1493,ADK,0,0
1494,TRIM71,0,0
1495,MCM10,0,0
1496,EIF3I,0,0
1497,ERVFRD-1,0,0
1498,MEIS1,0,0
1499,CLC,0,0
1500,CADM4,0,0
1501,PA2G4,0,0
1502,VDAC3,0,0
1503,ULK2,0,0
1504,SHH,0,0
1505,TNFRSF9,0,0
1506,LGR5,0,0
1507,EFNA2,0,0
1508,WBP4,0,0
1509,EIF2D,0,0
1510,POLR3GL,0,0
1511,ARF1,0,0
1512,DAXX,0,0
1513,TFB1M,0,0
1514,KMT5C,0,0
1515,AR,0,0
1516,NME6,0,0
1517,PLEKHA3,0,0
1518,RABGGTB,0,0
1519,VANGL1,0,0
1520,CFAP126,0,0
1521,CBS,1,0
1522,AP1B1,0,0
